"step","bid","ask","mid","spread","scenario","timestamp"
0,0,0,0,0,"stressed_market",1768679919.6677852
1,997,1003,1000,6,"stressed_market",1768679919.6722832
2,997.4,1000,998.7,2.6000000000000227,"stressed_market",1768679919.675453
3,996.8,998.7,997.75,1.900000000000091,"stressed_market",1768679919.6787465
4,997.6,997.9,997.75,0.2999999999999545,"stressed_market",1768679919.6819417
5,997.6,997.9,997.75,0.2999999999999545,"stressed_market",1768679919.6863222
6,997.7,997.9,997.8,0.1999999999999318,"stressed_market",1768679919.6903882
7,997.6,997.9,997.75,0.2999999999999545,"stressed_market",1768679919.6930716
8,997.6,997.9,997.75,0.2999999999999545,"stressed_market",1768679919.6968315
9,994.9,997.8,996.3499999999999,2.8999999999999773,"stressed_market",1768679919.7002501
10,993.8,997.8,995.8,4,"stressed_market",1768679919.7038383
11,994.6,997,995.8,2.3999999999999773,"stressed_market",1768679919.707308
12,993.7,995.8,994.75,2.099999999999909,"stressed_market",1768679919.7099504
13,994.6,994.9,994.75,0.2999999999999545,"stressed_market",1768679919.7125893
14,992.3,995.8,994.05,3.5,"stressed_market",1768679919.7159097
15,992.2,995.8,994,3.599999999999909,"stressed_market",1768679919.7185585
16,993.6,994.4,994,0.7999999999999545,"stressed_market",1768679919.7212186
17,991.4,996.6,994,5.2000000000000455,"stressed_market",1768679919.7244518
18,992.4,995.6,994,3.2000000000000455,"stressed_market",1768679919.7271557
19,993.1,994.9,994,1.7999999999999545,"stressed_market",1768679919.7302582
20,993.1,994.9,994,1.7999999999999545,"stressed_market",1768679919.7352624
21,989.3,998.7,994,9.400000000000091,"stressed_market",1768679919.7382944
22,994,996.7,995.35,2.7000000000000455,"stressed_market",1768679919.7693832
23,995.3,998.3,996.8,3,"stressed_market",1768679919.7731166
24,995.5,998.1,996.8,2.6000000000000227,"stressed_market",1768679919.776293
25,996.7,996.9,996.8,0.1999999999999318,"stressed_market",1768679919.7788005
26,996.8,996.9,996.8499999999999,0.10000000000002274,"stressed_market",1768679919.7816408
27,996.8,997.6,997.2,0.8000000000000682,"stressed_market",1768679919.7870564
28,997.2,997.6,997.4000000000001,0.39999999999997726,"stressed_market",1768679919.79026
29,997.4,997.6,997.5,0.20000000000004547,"stressed_market",1768679919.7953632
30,997.4,997.6,997.5,0.20000000000004547,"stressed_market",1768679919.7985141
31,997.2,997.8,997.5,0.599999999999909,"stressed_market",1768679919.8011556
32,997.2,997.8,997.5,0.599999999999909,"stressed_market",1768679919.8052967
33,997.4,997.6,997.5,0.20000000000004547,"stressed_market",1768679919.809192
34,997.5,997.6,997.55,0.10000000000002274,"stressed_market",1768679919.812469
35,997.4,997.6,997.5,0.20000000000004547,"stressed_market",1768679919.816453
36,997.5,997.6,997.55,0.10000000000002274,"stressed_market",1768679919.8196652
37,997.5,997.6,997.55,0.10000000000002274,"stressed_market",1768679919.8228657
